time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-02T12:52:34.395Z,-9.6034,-71.1826,589.37,5.9,mww,,49,2.393,0.87,us,us6000fr2z,2021-10-02T13:46:27.507Z,"165 km SSW of Tarauacá, Brazil",earthquake,5.9,6.5,0.078,16,reviewed,us,us
2021-10-02T06:45:24.572Z,-21.5709,174.6606,528.15,4.7,mb,,90,4.97,0.44,us,us6000fr0v,2021-10-02T07:01:34.040Z,"Vanuatu region",earthquake,11.5,10.4,0.113,24,reviewed,us,us
2021-10-02T06:29:18.845Z,-21.1036,174.8945,535.79,7.3,mww,,33,4.477,0.54,us,us6000fr0b,2021-10-02T13:44:37.040Z,"Vanuatu region",earthquake,10.1,5,0.083,14,reviewed,us,us
2021-10-02T04:45:24.828Z,30.3661,94.8646,33.6,4.8,mb,,109,6.133,0.67,us,us6000fqzr,2021-10-02T05:04:54.040Z,"209 km NNE of Shi Yomi, India",earthquake,11,4.7,0.1,34,reviewed,us,us
2021-10-02T04:36:19.726Z,-21.7765,-68.4555,111.42,4.7,mb,,48,1.197,1.08,us,us6000fqzp,2021-10-02T04:52:33.040Z,"89 km NNE of Calama, Chile",earthquake,5.7,4.6,0.032,299,reviewed,us,us
2021-10-02T04:24:28.042Z,-14.889,-173.1067,10,5.7,mww,,65,1.611,1.35,us,us6000fqzn,2021-10-02T06:27:26.431Z,"139 km NNE of Hihifo, Tonga",earthquake,5.3,1.9,0.093,11,reviewed,us,us
2021-10-02T02:17:13.113Z,-7.1277,154.8029,10,5.4,mww,,58,5.585,1.08,us,us6000fqza,2021-10-02T05:56:39.093Z,"117 km SW of Panguna, Papua New Guinea",earthquake,7.9,1.8,0.098,10,reviewed,us,us
2021-10-02T00:54:30.341Z,-7.2255,154.9432,23.89,5,mb,,38,15.315,0.98,us,us6000fqz0,2021-10-02T01:41:30.040Z,"117 km SSW of Panguna, Papua New Guinea",earthquake,11.2,4.7,0.056,100,reviewed,us,us
2021-10-01T22:03:09.088Z,55.8127,163.4134,10,4.5,mb,,157,3.943,0.64,us,us6000fqxt,2021-10-01T22:20:13.040Z,"74 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,6.6,1.9,0.083,42,reviewed,us,us
2021-10-01T21:21:41.730Z,52.2016,-176.1605,130.52,4.7,mb,,74,0.124,0.63,us,us6000fqxj,2021-10-01T23:42:40.425Z,"48 km NE of Adak, Alaska",earthquake,8.8,5.6,0.028,380,reviewed,us,us
2021-10-01T15:44:06.586Z,-60.5697,-26.4314,10,5.3,mb,,82,8.308,0.61,us,us6000fquf,2021-10-01T16:05:59.040Z,"South Sandwich Islands region",earthquake,11.6,1.8,0.067,75,reviewed,us,us
2021-10-01T14:12:52.714Z,55.9084,-156.3262,45.2,4.7,ml,,,,0.73,ak,ak021cldnudg,2021-10-01T15:44:15.040Z,"136 km ESE of Chignik, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2021-10-01T13:42:43.671Z,-7.6206,127.847,171.34,4.7,mb,,32,3.439,1.17,us,us6000fqs3,2021-10-01T14:00:41.040Z,"136 km NE of Lospalos, Timor Leste",earthquake,7.7,7.5,0.079,49,reviewed,us,us
2021-10-01T13:01:59.041Z,30.4113,94.7923,10,4.7,mb,,127,5.479,1.02,us,us6000fqqc,2021-10-01T13:29:36.040Z,"212 km N of Shi Yomi, India",earthquake,12.8,1.9,0.115,23,reviewed,us,us
2021-10-01T12:48:22.460Z,18.4756,121.2371,65.43,4.5,mb,,107,4.322,0.65,us,us6000fqq9,2021-10-01T14:21:37.676Z,"8 km WSW of Santa Cruz, Philippines",earthquake,9.1,7.8,0.069,61,reviewed,us,us
2021-10-01T11:15:52.184Z,-8.2075,118.1151,38.73,4.9,mb,,45,3.564,1.17,us,us6000fqpx,2021-10-01T11:34:26.040Z,"52 km NW of Dompu, Indonesia",earthquake,6.7,6.8,0.082,47,reviewed,us,us
2021-10-01T03:49:28.998Z,30.3403,94.8375,31.32,5,mb,,115,5.437,0.69,us,us6000fqn3,2021-10-01T05:07:42.040Z,"205 km NNE of Shi Yomi, India",earthquake,10.7,3.2,0.07,67,reviewed,us,us
2021-10-01T02:33:21.166Z,29.7755,50.523,10,4.6,mb,,74,6.695,0.69,us,us6000fqmi,2021-10-01T03:07:38.040Z,"21 km N of Bandar-e Genāveh, Iran",earthquake,9.2,1.9,0.109,27,reviewed,us,us
2021-10-01T01:15:21.889Z,29.7973,50.5043,10,5.2,mb,,70,6.668,0.99,us,us6000fqma,2021-10-01T02:44:34.648Z,"24 km N of Bandar-e Genāveh, Iran",earthquake,7.6,1.8,0.045,166,reviewed,us,us
2021-10-01T00:24:41.936Z,52.0798,-171.198,56.44,4.8,mb,,135,1.687,0.72,us,us6000fqm1,2021-10-01T06:30:51.378Z,"185 km WSW of Nikolski, Alaska",earthquake,4,7.4,0.03,351,reviewed,us,us
2021-10-01T00:10:53.463Z,52.1154,-171.1518,46.04,5.1,mww,,173,1.644,0.91,us,us6000fqlv,2021-10-02T00:20:55.664Z,"180 km WSW of Nikolski, Alaska",earthquake,8.4,7.8,0.086,13,reviewed,us,us
2021-09-30T15:54:57.248Z,-21.0634,-68.6865,126.39,4.5,mb,,51,0.748,0.76,us,us6000fqhd,2021-09-30T16:34:47.869Z,"156 km N of Calama, Chile",earthquake,6,7,0.132,18,reviewed,us,us
2021-09-30T15:12:28.978Z,-23.8302,179.9475,539.4,4.6,mb,,109,5.736,0.64,us,us6000fqfr,2021-09-30T15:30:10.040Z,"south of the Fiji Islands",earthquake,12.6,9.5,0.047,141,reviewed,us,us
2021-09-30T13:04:13.507Z,36.664,71.0694,214.17,4.8,mb,,70,0.607,0.73,us,us6000fqez,2021-09-30T13:53:28.040Z,"30 km SE of Jurm, Afghanistan",earthquake,6.5,5.2,0.042,183,reviewed,us,us
2021-09-30T12:07:54.395Z,-13.7877,167.1162,170.23,5.1,mww,,58,1.651,0.88,us,us6000fqev,2021-09-30T13:13:30.040Z,"48 km WNW of Sola, Vanuatu",earthquake,9.6,6.5,0.098,10,reviewed,us,us
2021-09-30T09:44:11.014Z,-21.5885,-66.6785,223.35,4.5,mb,,45,1.942,1.2,us,us6000fqeb,2021-09-30T11:43:46.040Z,"86 km SSW of Atocha, Bolivia",earthquake,8.3,8.1,0.077,50,reviewed,us,us
2021-09-30T08:47:08.574Z,18.9946,122.234,30.77,4.7,mb,,119,3.954,0.59,us,us6000fqe2,2021-09-30T15:03:07.846Z,"54 km N of San Vicente, Philippines",earthquake,7.6,5.4,0.078,50,reviewed,us,us
2021-09-30T08:45:31.194Z,38.5428,141.9819,65.6,4.6,mb,,166,2.352,0.62,us,us6000fqe1,2021-09-30T10:05:16.331Z,"61 km ENE of Ishinomaki, Japan",earthquake,9.4,7.9,0.04,186,reviewed,us,us
2021-09-30T07:38:09.775Z,-29.998,-177.2751,12.58,4.8,mb,,78,0.923,0.55,us,us6000fqds,2021-09-30T08:04:01.040Z,"Kermadec Islands, New Zealand",earthquake,7.1,3.9,0.105,37,reviewed,us,us
2021-09-30T02:08:10.004Z,18.4122,145.9661,100,4.7,mb,,95,15.649,0.35,us,us6000fqc6,2021-10-01T02:25:30.040Z,"Pagan region, Northern Mariana Islands",earthquake,12.5,8,0.062,78,reviewed,us,us
2021-09-29T23:29:19.516Z,53.2692,170.9639,29.06,4.5,mb,,168,1.972,0.5,us,us6000fqa7,2021-09-29T23:52:19.040Z,"156 km WNW of Attu Station, Alaska",earthquake,8.4,6.8,0.057,89,reviewed,us,us
2021-09-29T22:22:18.602Z,36.4645,27.1807,12.7,4.5,mb,,57,0.799,0.76,us,us6000fq9m,2021-09-29T22:35:46.040Z,"16 km SSE of Mandráki, Greece",earthquake,5,5.6,0.091,35,reviewed,us,us
2021-09-29T22:14:41.747Z,27.7044,127.679,137.22,4.5,mb,,85,1.013,1.2,us,us6000fq9j,2021-09-30T01:23:11.513Z,"124 km NNW of Nago, Japan",earthquake,9.6,9.3,0.104,27,reviewed,us,us
2021-09-29T17:05:54.100Z,-22.8358,171.7233,10,4.8,mb,,126,3.954,0.83,us,us6000fq75,2021-09-29T18:37:20.040Z,"southeast of the Loyalty Islands",earthquake,7.5,1.8,0.077,52,reviewed,us,us
2021-09-29T16:39:31.110Z,-1.3278,123.6876,10,4.5,mb,,45,0.958,1.1,us,us6000fq6u,2021-09-29T21:54:59.040Z,"108 km ESE of Luwuk, Indonesia",earthquake,5.7,1.9,0.118,21,reviewed,us,us
